h1 branching factor,h1 depth,h1 nodes visited,h2 branching factor,h2 depth,h2 nodes visited
2,1,2,2,1,2
2,1,2,2,1,2
2,1,2,2,1,2
1.5,2,3,1.5,2,3
1.5,2,3,1.5,2,3
1.5,2,3,1.5,2,3
1.333333333,3,4,1.333333333,3,4
1.333333333,3,4,1.333333333,3,4
1.333333333,3,4,1.333333333,3,4
1.25,4,5,1.5,4,6
1.4,5,7,1.4,5,7
1.2,5,6,1.8,5,9
1.5,6,9,1.333333333,6,8
1.833333333,6,11,3.333333333,6,20
1.166666667,6,7,2.5,6,15
1.285714286,7,9,3.142857143,7,22
1.25,8,10,2.875,8,23
7,9,63,4.111111111,9,37
4.111111111,9,37,3.222222222,9,29
79.38461538,13,1032,27.61538462,13,359
559.2666667,15,8389,1308.466667,15,19627
454.2666667,15,6814,300.9333333,15,4514
6944.222222,18,124996,200.2222222,18,3604
7567.444444,18,136214,102.4444444,18,1844
3751.333333,18,67524,204.3888889,18,3679